courseId, courseName, courseDepartment, creditHours, description
CEE573,Structural Dynamics II,Civil and Environmental Engineering,4 hours.,Advanced concepts in structural dynamics and fundamentals of experimental structural dynamics. Modern system theory; data acquisition and analysis; digital signal processing; experimental model analysis theory and implementation; random vibration concepts; system identification; structural health monitoring and damage detection; pseudo-dynamic testing and model-based simulation; smart structures technology (e.g.  smart sensors; passive  active  and semi-active control). Prerequisite: CEE 472.
CEE587,Applied Rock Mechanics,Civil and Environmental Engineering,4 hours.,Application of rock mechanics to engineering problems; shear strength of rock masses; dynamic and static stability of rock slopes; deformability of rock masses; design of pressure tunnel linings and dam foundations; controlled blasting and blasting vibrations; tunnel support; machine tunneling; design and construction of large underground openings; field instrumentation. Prerequisite: CEE 586.
CEE453,Urban Hydrology and Hydraulics,Civil and Environmental Engineering,4 hours.,Hydraulic analysis and design of urban  highway  airport  and small rural watershed drainage problems; discussion of overland and drainage channel flows; hydraulics of storm-drain systems and culverts; determination of design flow; runoff for highways  airports  and urban areas; design of drainage gutters  channels  sewer networks  and culverts. 4 undergraduate hours. 4 graduate hours. Prerequisite: CEE 350.
CEE562,Highway Bridge Design,Civil and Environmental Engineering,4 hours.,This course introduces current practices in highway bridge design. It provides students with the background to understand the American Association of State Highway and Transportation Officials (AASHTO) code. The course covers topics related the behavior  analysis  and design of bridge superstructure and substructure systems under various bridge loads. The course specifically addresses highway bridge types constructed using reinforced concrete  prestressed concrete  and steel. In addition  the course gets the students familiar with state-of-art methodologies adopted for bridge seismic retrofitting. 4 graduate hours. No professional credit. This class will meet twice a week for 80 minutes per class. Prerequisite: CEE 460  CEE 461  CEE 472.
CEE574,Probabilistic Loads and Design,Civil and Environmental Engineering,4 hours.,Application of probabilistic methods in describing and defining loads on structures with emphasis on the random fluctuation in time and space. Random vibration methods and applications to dynamic response of structures under wind and earthquake loads. Computer simulation of structural loads and responses. Probability-based safety criteria and review of current methods of selection of design loads and load combinations. Prerequisite: CEE 202 and CEE 472.
CEE467,Masonry Structures,Civil and Environmental Engineering,3 OR 4 hours.,Analysis  design  and construction of masonry structures. Mechanical properties of clay and concrete masonry units  mortar  and grout. Compressive  tensile  flexural  and shear behavior of masonry structural components. Strength and behavior of unreinforced bearing walls. Detailed design of reinforced masonry beams  columns  structural walls with and without openings  and complete lateral-force resisting building systems. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CEE 461.
CEE507,Repair of Civil Infrastructure,Civil and Environmental Engineering,4 hours.,Science related to material decay and testing methodology of high quality civil infrastructure including transportation systems  structures  and underground sewers and pipelines. Methods for condition assessment and approaches for selecting compatible materials to be used in repair. Specific emphasis on material interfaces which impact the quality of adhesion  structural load transfer  sealing performance and durability relative to surface preparation. Case studies illustrating the application of sound engineering practice. Includes a field trip to Allerton Park and course project based on local infrastructure problems. 4 graduate hours. No professional credit. Prerequisite: CEE 401.
CEE589,Computational Geomechanics,Civil and Environmental Engineering,4 hours.,Numerical modeling  multi-phase domain equations  constitutive modeling of soils and rock  continuum and discrete element modeling. Upper and lower bound limit analysis methods. Simulation of soil-structure interaction problems and construction activities. Prerequisite: CEE 483. Recommended: one of AE 420  CEE 470  CSE 451  or ME 471.
CEE571,Computational Plates &amp; Shells,Civil and Environmental Engineering,4 hours.,Classical and first-order shear deformable plate and shell models: assumptions  applicability  valid boundary conditions  analytical solutions; finite element methods for plates and shells: convergence  instabilities  shear and membrane locking  mixed methods for plates and shells; implementation and verification of finite elements for plates and shells; buckling of plates and shells; boundary layer effects; introduction to high order hierarchical plates and shell models and to isogeometric analysis of shells. Same as CSE 554. 4 graduate hours. No professional credit. Prerequisite: CEE 471 or TAM 551. Credit or current registration in CEE 570 Finite Element Methods or ME 471 Finite Element Analysis.
CEE527,Constr Conflict Resolution,Civil and Environmental Engineering,4 hours.,Basic theories and applications of dispute avoidance and resolution techniques in the construction industry. Mechanisms to promote collaborative environments and resolve disputes in construction projects; the different steps in the Dispute Resolution Ladder and the main features of a conflict management plan; case studies of practical applications of disputes avoidance and resolution techniques in the construction industry throughout the world. Prerequisite: One of CEE 420  CEE 421  CEE 422.
CEE544,Advanced Surface Science,Civil and Environmental Engineering,4 hours.,The overall goal of this course is to provide an in-depth knowledge of surface science principles. The specific goals are to elaborate the classical theories  to identify their limitations from a fundamental level  and to provide the state-of-the-art extensions of classical theories  and alternative approaches based on recent literature. The course also seeks to provide students with state-of-the-art experimental approaches  and to provide a link between surface science and the student's research project or other interests  which is pursued through literature discussion in presentations and term paper. 4 graduate hours. No professional credit. Prerequisite: CEE 442.
CEE460,Steel Structures I,Civil and Environmental Engineering,3 hours.,Introduction to the design of metal structures; behavior of members and their connections; theoretical  experimental  and practical bases for proportioning members and their connections. 3 undergraduate hours. No graduate credit. Prerequisite: CEE 360.
CEE591,Reliability Analysis,Civil and Environmental Engineering,4 hours.,Introduction to applied probability theory and random processes  Bayesian analysis of model uncertainties. Formulation of reliability for components and systems. Exact solutions for special cases. Approximate solutions by second-moments  first- and second-order reliability methods (FORM and SORM)  the response surface method  simulation methods including importance sampling techniques. Reliability-based optimal design and probabilistic design codes. Time- and space-variant reliability formulations. 4 graduate hours. No professional credit. Prerequisite: CEE 491.
CEE483,Soil Mechanics and Behavior,Civil and Environmental Engineering,4 hours.,Composition and structure of soil; water flow and hydraulic properties; stress in soil; compressibility behavior and properties of soils; consolidation and settlement analysis; shear strength of soils; compaction and unsaturated soils; experimental measurements. 4 undergraduate hours. 4 graduate hours. Prerequisite: CEE 380.
CEE592,Sustainable Urban Systems,Civil and Environmental Engineering,4 hours.,Fundamental concepts of sustainability and resilience in urban systems  including the complex interactions among human  engineered  and natural systems. Project-based format  focusing on real-world problems solicited from government agencies  industry  and non-governmental organizations in one or more partnering cities. Students work in multidisciplinary teams with faculty advisors from multiple departments and colleges. Same as NRES 592 and UP 576. Prerequisite: One of ATMS 421  CEE 491  NRES 439  UP 456  UP 480  or equivalent course related to sustainable urban systems; and one of NRES 454  UP 418  GEOG 480  or equivalent course related to geographic information systems (GIS).
CEE560,Steel Structures III,Civil and Environmental Engineering,4 hours.,Theories of ultimate behavior of metal structural members with emphasis on buckling and stability of members and frames; theory of torsion applied to beam torsion  lateral-torsional buckling  curved beams with emphasis on design criteria; post-buckling strength of plates and post-buckling versus column behavior. Prerequisite: CEE 462.
CEE555,Mixing in Environmental Flows,Civil and Environmental Engineering,4 hours.,Physical processes involved in transport of pollutants by water; turbulent diffusion and longitudinal dispersion in rivers  pipes  lakes  and the ocean; diffusion in turbulent jets  buoyant jets  and plumes. Prerequisite: MATH 285 and TAM 335.
CEE559,Sediment Transport,Civil and Environmental Engineering,4 hours.,Physical processes of transportation and deposition of sediment particles in liquid bodies with particular emphasis on fluvial sediment problems; sediment in desilting basins; reservoirs and delta formation; erosion; stable channel design; river morphology. Prerequisite: CEE 551.
CEE570,Finite Element Methods,Civil and Environmental Engineering,4 hours.,Theory and application of the finite element method; stiffness matrices for triangular  quadrilateral  and isoparametric elements; two- and three-dimensional elements; algorithms necessary for the assembly and solution; direct stress and plate bending problems for static  nonlinear buckling and dynamic load conditions; displacement  hybrid  and mixed models together with their origin in variational methods. Same as CSE 551. Prerequisite: CEE 471 or TAM 551.
CEE540,Remediation Design,Civil and Environmental Engineering,4 hours.,Evaluation and design of alternative treatment processes for hazardous waste sites contaminated with organic or metal wastes. Group design project due at the end of the term. Prerequisite: CEE 440.
CEE495,Professional Practice,Civil and Environmental Engineering,0 hours.,Series of lectures by outstanding authorities on the practice of civil engineering and its relations to economics  sociology  and other fields of human endeavor. 0 undergraduate hours. 0 graduate hours. Approved for S/U grading only.
CEE502,Advanced Cement Chemistry,Civil and Environmental Engineering,4 hours.,Advanced topics in chemistry of portland cement  chemistry and microstructure of cements  chemical reactions that lead to hardening  chemistry and microstructure of hydrated cements  effects of chemical and mineral admixtures  and chemical issues involved in the engineering behavior of the cements. Prerequisite: CEE 401.
CEE552,River Basin Management,Civil and Environmental Engineering,4 hours.,Multidisciplinary knowledge (hydrology  economics  systems engineering  etc.) and methodological skills (optimization  simulation  etc.) for river basic management. River basin characterization-natural and social features; water availability assessment based on hydrology  infrastructure  and policy; environmental flow requirements; water demand management and microeconomics theory; integrated river basic management modeling. Prerequisite: CEE 350 and CEE 434.
CEE575,Fracture and Fatigue,Civil and Environmental Engineering,4 hours.,Fatigue and fracture behavior of metallic structures and connections; fatigue and fracture mechanics theory; generation and use of laboratory data; background and application of international testing and assessment standards. Same as AE 521. Prerequisite: One of CEE 471  TAM 451  TAM 551.
CEE551,Open-Channel Hydraulics,Civil and Environmental Engineering,4 hours.,Advanced hydraulics of free surface flow in rivers and open channels; discussion of theory  analytical and numerical solution techniques  and their applications to gradually and rapidly varied nonuniform flows  unsteady flow  and flow in open-channel networks. Prerequisite: CEE 451.
CEE554,Hydrologic Variability,Civil and Environmental Engineering,4 hours.,Advanced quantitative treatment of catchment hydrology  focusing on analysis of observed hydrologic and hydroclimatic variability  and their interpretation in terms of the underlying processes. Concepts of heterogeneity and variability  scale and scaling  process change and process interactions will be emphasized. Theoretical foundations of hydrologic applications  such as flood estimation  water balance analyses  hydrologic modeling and associated scale problems will be discussed in sufficient detail to prepare students to undertake advanced research and professional practice. Prerequisite: CEE 450.
CEE498,Special Topics,Civil and Environmental Engineering,1 TO 4 hours.,Subject offerings of new and developing areas of knowledge in civil and environmental engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.
CEE572,Earthquake Engineering,Civil and Environmental Engineering,4 hours.,Source mechanisms  stress waves  and site response of earthquake shaking; effect on the built environment; nature of earthquake actions on structures; fundamental structural response characteristics of stiffness  strength  and ductility; representation of the earthquake input in static and dynamic structural analysis; modeling of steel and concrete structures under earthquake effects; outputs for safety assessment; comprehensive source-to-design actions project. Prerequisite: CEE 472.
CEE524,Construction Law,Civil and Environmental Engineering,4 hours.,Legal aspects of the construction process and the potential liability that engineers can incur through the design  and post-construction processes. Organization and operation of the American court system  contact formation  defenses  remedies  and typical areas of dispute  and design services contracts  torts  product liability  agency  business organizations  intellectual property  and risk managements. Mock trial of a recent construction-related case with the class serving as plaintiffs and defendants. Prerequisite: CEE 420  CEE 421  and CEE 422.
CEE501,Constr Matls Characterization,Civil and Environmental Engineering,4 hours.,Laboratory methods such as thermal analysis  optical microscopy  scanning electron microscopy  and x-ray diffraction used to characterize civil engineering materials. Theoretical background  calculation methods  models  underlying assumptions  and operation of the instrument are examined for each method. Prerequisite: CEE 300; one of CEE 401  CEE 405  CEE 483.
CEE553,River Morphodynamics,Civil and Environmental Engineering,4 hours.,River morphology and characteristics of river sediment. Response of alluvial and bedrock rivers to changes in sediment supply  hydrology  and tectonics. Numerical modeling of river morphodynamics in gravel and sand bed rivers and deltas. Same as GEOL 573. Prerequisite: TAM 335.
CEE598,Special Topics,Civil and Environmental Engineering,1 TO 4 hours.,Subject offerings of new and developing areas of knowledge in civil and environmental engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. May be repeated in the same or separate terms if topics vary.
CEE525,Construction Case Studies,Civil and Environmental Engineering,4 hours.,Case studies of bridges  tunnels  buildings  transportation systems  heavy industrial construction  waterways  and marine structures in the context of construction engineering and management. Research  a team-oriented term project  presentations  and discussions in studio-style format. Prerequisite: Two of CEE 420  CEE 421  and CEE 422.
CEE545,Aerosol Sampling and Analysis,Civil and Environmental Engineering,4 hours.,Principles of sampling for particles and gases in the field of air pollution; instrumental techniques relevant to the design of sampling systems used in process control  ambient air monitoring  and laboratory experiments; methods of sample analysis and their limitations. Same as ATMS 535. Prerequisite: CEE 446 and MATH 285.
CEE506,Pavement Design II,Civil and Environmental Engineering,4 hours.,Development of layered elastic and plate theory models for area analysis of pavement systems; performance prediction of flexible and rigid pavements; characterization of aircraft traffic; design of airfield pavement systems;  construction material fatigue and failure criteria (strength theory and fracture mechanics); industrial floor and reinforced concrete slab design; climatic factors. Prerequisite: CEE 406.
CEE548,Scientific Writing in CEE,Civil and Environmental Engineering,3 hours.,Advanced writing course covering topics specific to scientific writing  with emphasis on proposals  manuscripts  and peer review. Prerequisite: CEE 444  CEE 599.
CEE586,Rock Mechanics and Behavior,Civil and Environmental Engineering,4 hours.,Rock classification  stress and strain  elastic and inelastic deformation  failure criteria  rock-fluid interaction  poroelasticity  fluid flow in rock  thermal effect on rock deformation  geo-energy applications. 4 graduate hours. No professional credit. Prerequisite: CEE 483 and TAM 451.
CEE590,Geotechnical Field Measurement,Civil and Environmental Engineering,4 hours.,Discussion of observational method in geotechnical engineering. Historical  theoretical  experimental  and empirical development of in-situ tests and instrumentation in geotechnical engineering. Practical applications and limitation of field testing devices and instruments. Interpretation of test results and measurements for geotechnical site characterization. Discussion of data acquisition systems and data management. Introduction of emerging technologies in field testing and instrumentation. Prerequisite: CEE 483 and CEE 484.
CEE561,Reinforced Concrete III,Civil and Environmental Engineering,4 hours.,Behavior of reinforced concrete members  including the relationships between behavior and building code requirements. Prerequisite: CEE 463.
CEE577,Computational Inelasticity,Civil and Environmental Engineering,4 hours.,Theoretical foundations of inelasticity and advanced nonlinear material modeling techniques; constitutive models for inelastic response of metals  polymers  granular materials  biomaterials. Phenomenological models of viscoelasticity  viscoplasticity  elastoplasticity  porous plasticity and cyclic plasticity. Small-strain and finite-strain numerical implementation and code development. Same as CSE 553. Prerequisite: CEE 471 or TAM 551; CEE 570 or ME 471.
CEE581,Dams  Embankments  and Slopes,Civil and Environmental Engineering,4 hours.,Fundamentals of static and seismic slope stability and shear strength; seepage in composite sections and anisotropic materials; methods of stability analyses; mechanism of failure of natural and man-made slopes; compaction; field observations. 4 graduate hours. No professional credit. Prerequisite: CEE 483 - Applied Soil Mechanics.
CEE537,Water Quality Control Proc I,Civil and Environmental Engineering,4 hours.,Theory and basic design of processes used in water and wastewater treatment  including adsorption  ion exchange  chemical oxidation and reduction  disinfection  sedimentation  filtration  coagulation  flocculation  and chemical precipitation. Prerequisite: Credit or concurrent registration in CEE 442 and CEE 443.
CEE593,Tunneling in Soil and Rock,Civil and Environmental Engineering,4 hours.,History of development of tunneling design and methods. Relationship of geology on anticipated ground response to tunneling. Study of tunneling methods unique to tunnels in soil  tunnels in rock  caverns in soils and caverns in rock. Analysis approaches for tunnels in soils and rock. Geotechnical Baselines report and other risk allocation tools for tunnel construction. Case histories of tunneling projects. 4 graduate hours. No professional credit. The course lectures will be scheduled for twice a week for 80 minutes each class during a 16 week semester. Prerequisite: CEE 483 required. Credit or concurrent enrollment in CEE 484 is required.
CEE585,Deep Foundations,Civil and Environmental Engineering,4 hours.,Ultimate capacities and load-deflection of piles and drilled shafts subjected to compressive loads  tensile loads  and lateral loads; effects of duration of load  soil-structure interaction; two- and three-dimensional analysis of pile groups with closely-spaced piles; effects of installation; inspection of deep foundations and full-scale field tests. Prerequisite: CEE 484.
CEE597,Independent Study,Civil and Environmental Engineering,1 TO 16 hours.,Individual investigations or studies of any phase of civil engineering selected by the student and approved by the adviser and the staff member who will supervise the investigation. May be repeated. Prerequisite: Consent of instructor.
CEE583,Shear Strength of Soils,Civil and Environmental Engineering,4 hours.,Physico-chemical properties of soils; fabric and structure of soil; mechanism of shearing resistance; residual shear strength of overconsolidated clays and clay shales; long-term shear strength of overconsolidated clays; Hvorslev shear strength parameters; undrained shear strength of clays. Prerequisite: CEE 483.
CEE557,Groundwater Modeling,Civil and Environmental Engineering,4 hours.,Theory and application of numerical methods  finite differences and finite element  for solving the equations of groundwater flow and solute transport; transport of chemically reacting solutes; model calibration and verification. Prerequisite: CEE 457 and MATH 285.
CEE576,Nonlinear Finite Elements,Civil and Environmental Engineering,4 hours.,Nonlinear formulations in solid mechanics and nonlinear equation solving strategies; finite deformation (hyperelasticity) elastostatics and elastodynamics  semi-discrete weighted residual formulations  implicit and explicit time-stepping algorithms and stability analysis; theory of mixed finite element methods  strain-projection methods  and stabilized methods; mixed methods for nonlinear coupled-field problems. Same as CSE 552. Prerequisite: CEE 471 or TAM 445; CEE 470 or ME 471.
CEE582,Consolidation of Clays,Civil and Environmental Engineering,4 hours.,Elastic solutions relevant to soil mechanics; permeability; general application of Terzaghi's theory of one-dimensional consolidation; advances in consolidation theories; mechanism of volume change; delayed and secondary compressibility and creep; theory of three-dimensional consolidation and solutions; radial flow and design of sand drains; analysis and control of settlement. Prerequisite: CEE 483.
CEE588,Geotechnical Earthquake Engrg,Civil and Environmental Engineering,4 hours.,Seismic hazard analysis  cyclic response of soils and rock; wave propagation through soil and local site effects; liquefaction and post liquefaction behavior  seismic soil-structure of foundations and underground structures  seismic design of retaining walls  underground structures and tunnels. Construction and machine vibrations. Blasting. Prerequisite: CEE 472 and CEE 483.
CEE599,Thesis Research,Civil and Environmental Engineering,0 TO 16 hours.,Approved for S/U grading only. May be repeated.
CEE198,Special Topics,Civil and Environmental Engineering,1 TO 4 hours.,Subject offerings of new and developing areas of knowledge in civil and environmental engineering intended to augment the existing curriculum. Approved for Letter and S/U grading. May be repeated up to 6 hours in the same semester and to a maximum of 9 hours in separate semesters  if topics vary. See Class Schedule or departmental course information for topics and prerequisites.
CEE595,Seminar,Civil and Environmental Engineering,0 TO 1 hours.,Discussion of current topics in civil and environmental engineering and related fields by staff  students  and visiting lecturers. Approved for S/U grading only. May be repeated.
CEE320,Construction Engineering,Civil and Environmental Engineering,3 hours.,Construction engineering processes: contracting and bonding  planning and scheduling  estimating and project control  productivity models  and construction econometrics. Prerequisite: CEE 201; credit or concurrent registration in CS 101 and CEE 202.
CEE300,Behavior of Materials,Civil and Environmental Engineering,4 hours.,Macroscopic mechanical behavior in terms of phenomena at the nanometer and micrometer levels for the three types of engineering materials (metals  ceramics  and polymers) with emphasis on specific materials used in civil engineering -- steel  rocks  clay  portland cement concrete  asphaltic concrete  and wood. Same as TAM 324. Credit is not given for both CEE 300 and either ME 330 or MSE 280. Prerequisite: Completion of Composition I general education requirement; CHEM 104; TAM 251.
CEE398,Special Topics,Civil and Environmental Engineering,0 TO 4 hours.,Subject offerings of new and developing areas of knowledge in civil and environmental engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Approved for letter and S/U grading. May be repeated in the same or separate terms if topics vary.
CEE410,Railway Signaling &amp; Control,Civil and Environmental Engineering,3 OR 4 hours.,Railway traffic control and signaling systems; train performance and scheduling tools; analysis of temporal and spatial separation of trains for safety and efficiency; train movement authority and operating rules  track circuit and wireless train position monitoring technology; interlocking design; railroad capacity modeling tools; economic analysis of traffic control system design  optimization  and selection. Field trip to observe signal system infrastructure and railway traffic operations control center. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CEE 310.
CEE408,Railroad Transportation Engrg,Civil and Environmental Engineering,3 OR 4 hours.,Principles and analysis of railroad transportation efficiency  economics  energy  and engineering; effect on production and markets. Railroad infrastructure; locomotive and rolling stock design  function  and operation. Computation of train speed  power  and acceleration requirements; railway traffic control and signaling. Quantitative analytical tools for rail-transportation decision-making and optimization. Field trip to observe railroad infrastructure  equipment and operations. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CEE 310.
CEE434,Environmental Systems I,Civil and Environmental Engineering,3 hours.,Introduction to the concepts and applications of environmental systems analysis. Application of mathematical programming and modeling to the design  planning  and management of engineered environmental systems  regional environmental systems  and environmental policy. Economic analysis  including benefit-cost analysis and management strategies. Concepts of tradeoff  non-inferior sets  single- and multi-objective optimization. Practical application to case studies to convey an understanding of the complexity and data collection challenges of actual design practice. 3 undergraduate hours. 3 graduate hours. Prerequisite: CEE 201 and CEE 330.
CEE350,Water Resources Engineering,Civil and Environmental Engineering,3 hours.,Quantitative aspects of water in the earth's environment and its engineering implications  including design and analysis of systems directly concerned with use and control of water; quantitative introduction to hydrology  hydraulic engineering  and water resources planning. Prerequisite: CEE 202; credit or concurrent registration in CEE 201.
CEE447,Atmospheric Chemistry,Civil and Environmental Engineering,4 hours.,Same as ATMS 420. See ATMS 420.
CEE201,Systems Engrg &amp; Economics,Civil and Environmental Engineering,3 hours.,Introduction to the formulation and solution of civil engineering problems. Major topics: engineering economy  mathematical modeling  and optimization. Application of techniques  including classical optimization  linear and nonlinear programming  network theory  critical path methods  simulation  decision theory  and dynamic programming to a variety of civil engineering problems. Credit is not given for both CEE 201 and IE 310. Prerequisite: MATH 231; credit or concurrent registration in MATH 225.
CEE432,Stream Ecology,Civil and Environmental Engineering,3 OR 4 hours.,Description of physical  chemical  and biological characteristics in streams and rivers including an integrated treatment of the environmental factors affecting the composition and distribution of biota; emphasizes the application of ecological principles in aquatic ecosystem protection and management. Same as IB 450. 3 undergraduate hours. 3 or 4 graduate hours.
CEE433,Water Technology and Policy,Civil and Environmental Engineering,3 OR 4 hours.,This course will cover technical and social concepts of water and wastewater treatment; water resources; water law  policy  and economics; and water in integrated systems. Emphasis will be on the intersection between engineering and policy. Communication is an important element of this course: engineers will learn to "speak" policy via writing assignments  multimedia presentation  and briefings. Course activities include lecture  discussion  presentations  and field trips. 3 undergraduate hours. 4 graduate hours. Prerequisite: CEE 340 or CEE 350.
CEE422,Construction Cost Analysis,Civil and Environmental Engineering,3 OR 4 hours.,Application of scientific principles to costs and estimates of costs in construction engineering; concepts and statistical measurements of the factors involved in direct costs  general overhead costs  cost markups  and profits; the fundamentals of cost recording for construction cost accounts and cost controls. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CEE 320.
CEE407,Airport Design,Civil and Environmental Engineering,3 OR 4 hours.,Basic principles of airport facilities design to include aircraft operational characteristics  noise  site selection  land use compatibility  operational area  ground access and egress  terminals  ground service areas  airport capacity  and special types of airports. 3 undergraduate hours. 3 or 4 graduate hours.
CEE401,Concrete Materials,Civil and Environmental Engineering,4 hours.,Examination of the influence of constituent materials (cements  water  aggregates and admixtures) on the properties of fresh and hardened concrete  concrete mix design  handling and placement of concrete  and behavior of concrete under various types of loading and environment. Laboratory exercises utilize standard concrete test methods. Field trips are held during some scheduled laboratory sessions. 4 undergraduate hours. 4 graduate hours. Prerequisite: CEE 300.
CEE418,Public Transportation Systems,Civil and Environmental Engineering,3 OR 4 hours.,Transit systems basics  demand issues  design standards  economic and sustainability implications. Transit service planning for shuttle  corridor  and network systems  hybrid hierarchical systems  paratransit and demand-responsive services. Management of transit systems  fleet operations  and crew scheduling. Operational issues  vehicle movement  headway and schedule control. 3 undergraduate hours. 4 graduate hours. Prerequisite: CEE 310 or equivalent.
CEE437,Water Quality Engineering,Civil and Environmental Engineering,3 hours.,Fundamental theory underlying the unit processes utilized in the treatment of water for domestic and industrial usage  and in the treatment of domestic and industrial wastewaters. 3 undergraduate hours. 3 graduate hours. Prerequisite: CEE 330; credit or concurrent registration in TAM 335.
CEE444,Env Eng Principles  Biological,Civil and Environmental Engineering,4 hours.,Application of principles of biochemistry and microbiology to air and water quality  wastes  and their engineering management; biological mediated changes in water and in domestic and industrial wastewater. 4 undergraduate hours. 4 graduate hours. Prerequisite: CEE 443.
CEE411,RR Project Design &amp; Constr,Civil and Environmental Engineering,3 OR 4 hours.,Critical elements in the development and planning of railroad construction projects; project economic justification; route alternative analysis procedures; cost estimation; site civil design; computer-aided track design; surveying; construction management; construction procedures for typical railroad projects. Design project covering a typical railroad capital construction projects. Field trip to observe the construction of a railroad capital project. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: CEE 310.
CHBE121,CHBE Profession,Chemical and Biomolecular Engineering,1 hours.,Lectures and problems on the history and scope of chemical engineering endeavors; decisions and criteria for process development and plant design. Approved for S/U grading only. Prerequisite: CHEM 102 or CHEM 202.
CHBE202,Cooperative Education Practice,Chemical and Biomolecular Engineering,0 hours.,Same as CHEM 293. See CHEM 293.
CHBE455,Polymers Synthesis and Industrial Applications,Chemical and Biomolecular Engineering,3 hours.,Explores the fundamentals of polymer production by providing a broad overview of several topics within the field. Students will gain an appreciation of the relationships between polymer composition  synthesis  and processing  all of which ultimately determine bulk polymer properties. 3 undergraduate hours. No graduate credit. Credit is not given for both CHBE 455 and MSE 457.
CHBE321,Thermodynamics,Chemical and Biomolecular Engineering,4 hours.,Fundamental concepts and the laws of thermodynamics; the first and second law applications to phase equilibrium and chemical equilibrium and other applications in the Chemical and Biomolecular Engineering profession. Prerequisite: CHBE 221 and MATH 241.
CHBE221,Principles of CHE,Chemical and Biomolecular Engineering,3 hours.,Lectures and problems on material and energy balances.  Prerequisite: CHEM 104 or CHEM 204; credit or concurrent registration in CS 101.
CHBE421,Momentum and Heat Transfer,Chemical and Biomolecular Engineering,4 hours.,Introduction to fluid statics and dynamics; dimensional analysis; design of flow systems; introduction to heat transfer; conduction  convection  and radiation. 4 undergraduate hours. 4 graduate hours. Credit is not given for both CHBE 421 AND ABE 341. Prerequisite: CHBE 221 and MATH 241.
CHBE430,Unit Operations Laboratory,Chemical and Biomolecular Engineering,4 hours.,Experiments and computation in fluid mechanics  heat transfer  mass transfer  and chemical reaction engineering. Exercises in effective Chemical and Biomolecular Engineering communications. 4 undergraduate hours. 4 graduate hours. Prerequisite: CHBE 422; credit or concurrent registration in CHBE 424; senior standing in Chemical and Biomolecular Engineering.
CHBE431,Process Design,Chemical and Biomolecular Engineering,4 hours.,Capstone design course where students apply principles from previous courses to the design of complete chemical process systems. Topics include: techniques used in the synthesis and analysis of chemical processes  process simulation and optimization  effective communication in a chemical process engineering environment. 4 undergraduate hours. 4 graduate hours. Prerequisite: CHBE 422; credit or concurrent registration in CHBE 424.
CHBE101,Hidden World of Engineering,Chemical and Biomolecular Engineering,3 hours.,Tells the stories of everyday objects: bathtubs  pop cans and screws. These simple objects shape our lives  yet are engineering masterpieces. To unveil this hidden world the course uses a humanistic approach. Designed to appeal to all majors  it uses human stories - filled with failures and triumphs - to reveal the methods of engineers. The course enchants with tales of ancient steel making  today's pop cans  huge stone monuments  and salt. The course will change how a student looks at his or her world. Several sessions focus on women engineers and the environment.
CHBE452,Chemical Kinetics &amp; Catalysis,Chemical and Biomolecular Engineering,3 hours.,Problems in chemical kinetics; techniques for the prediction and measurement of rates of reactions; homogeneous and heterogeneous catalysis chain reactions. 3 undergraduate hours. 3 graduate hours. Prerequisite: CHEM 442 or CHBE 321.
CHBE199,Undergraduate Open Seminar,Chemical and Biomolecular Engineering,1 TO 5 hours.,Approved for letter and S/U grading. May be repeated.
CHBE510,Graduate CHBE Internship,Chemical and Biomolecular Engineering,0 hours.,Full-time practice of chemical engineering in an off-campus industrial setting or research laboratory environment. Summary report required. Students must have received internship offer prior to enrolling in this course. 0 graduate hours. No professional credit. Approved for S/U grading only. May be repeated if student is selected for additional work terms. Prerequisite: Graduate standing only.
CHBE210,CHBE Internship,Chemical and Biomolecular Engineering,0 hours.,Full-time practice of chemical science in an off-campus industrial setting or research laboratory environment. Summary report required. Approved for S/U grading. May be repeated. Prerequisite: Completion of freshman year or equivalent  or consent of Director of Cooperative Education in Chemical and Biomolecular Engineering.
CHBE458,Synthetic Nanomaterials,Chemical and Biomolecular Engineering,3 hours.,Study of the concepts related to the fundamentals and practical methods for the preparation of nanostructured materials. Classical nucleation and growth  interfacial science  crystal structures  and characterization techniques are among some of the topics covered. The emphasis will be placed on the processing controls of size  shape (dot  wire  and two-dimensional materials)  facet  composition  and hierarchical structure. Students will also be exposed to related current topics  including the applications of nanoparticles in energy  sustainability  and biotechnology. 3 undergraduate hours. No graduate credit. Prerequisite: CHEM 102 and CHEM 104 or equivalents.
